Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Latitude,Longitude
1941382,"February 28, 2021",Ohio,Cincinnati,3600 block of Idlewild Ave,3,3,39.14493969999999,-84.4728071
1941669,"February 28, 2021",Indiana,East Chicago,1205 W Chicago Ave,0,4,41.6288662,-87.4868211
1940791,"February 28, 2021",Delaware,Dover,21 S Little Creek Rd,0,4,39.1577267,-75.5086075
1941647,"February 28, 2021",South Carolina,Mccormick,437 Talbert Rd,0,4,33.9078323,-82.3120271
1941444,"February 28, 2021",Louisiana,Shreveport,4914 Mansfield Rd,0,5,32.4642785,-93.7760819
1941210,"February 28, 2021",Texas,Houston,13484 Northwest Fwy,0,4,29.8537969,-95.5090831
1943271,"February 27, 2021",Mississippi,Columbus,1200 block of 7th St S,0,4,33.4840314,-88.42451849999999
1940190,"February 27, 2021",Mississippi,Pattison,Pattison-Tillman Rd,2,3,31.8917682,-90.8859682
1940069,"February 26, 2021",Texas,Houston,8708 Beechnut St,1,5,29.690934,-95.538361
1939789,"February 26, 2021",Louisiana,Baton Rouge,4700 block of Paige St,0,4,30.5169837,-91.1447315
1939958,"February 26, 2021",California,San Diego,841 S 45th St,1,3,32.6971111,-117.09781
1934704,"February 21, 2021",Missouri,Kennett,1615 1st St,1,4,36.2358726,-90.0363721
1935235,"February 21, 2021",North Carolina,Teachey,Thomas Smith Ln and Bay Rd,0,4,34.812221,-77.9641444
1934225,"February 20, 2021",Pennsylvania,Norristown (East Norriton),2912 Swede Rd,1,4,40.1460627,-75.3162552
1934077,"February 20, 2021",Louisiana,Metairie,6719 Airline Dr,3,2,29.978333,-90.2082093
1933975,"February 20, 2021",Colorado,Grand Junction,1000 block of Teller Ave,1,3,39.0754035,-108.5559559
1934181,"February 20, 2021",Illinois,Springfield,1100 block of S Grand Ave W,1,4,39.7869007,-89.6699773
1932479,"February 18, 2021",Louisiana,Baton Rouge,2047 N Foster Dr,1,3,30.4673937,-91.1399873
1931288,"February 17, 2021",Pennsylvania,Philadelphia,5597 Old York Rd,0,8,40.03888,-75.144406
1930463,"February 16, 2021",Florida,Saint Petersburg,2968 Emerson Ave S,3,1,27.7654629,-82.67372259999999
1928557,"February 13, 2021",California,San Francisco,3rd St and Quesada Ave,0,6,37.7331886,-122.3912154
1928594,"February 13, 2021",Indiana,Indianapolis,3800 block of N Sherman Dr,0,4,39.8253431,-86.10270899999999
1928149,"February 13, 2021",California,Oakland,1000 block of Washington St,0,6,37.8052818,-122.2721909
1928205,"February 13, 2021",North Carolina,Cary,101 Reed St,1,3,35.7901411,-78.7628962
1926742,"February 11, 2021",Georgia,Columbus,2001 South Lumpkin Rd,1,4,32.4156457,-84.952857
1926701,"February 10, 2021",Georgia,Atlanta,62 Harwell Rd NW,0,4,33.7544703,-84.4938471
1924892,"February 9, 2021",Texas,Houston,945 W Little York Rd,0,4,29.8649326,-95.42335
1924338,"February 9, 2021",Minnesota,Buffalo,755 Crossroads Campus Dr,1,4,45.1781559,-93.8632021
1921939,"February 6, 2021",Tennessee,Murfreesboro,Ewing Blvd and West St,1,4,35.8495625,-86.3761894
1923786,"February 6, 2021",Louisiana,Thibodaux,1100 block of Tiger Dr,0,4,29.7880172,-90.83767569999999
1921768,"February 6, 2021",Illinois,Bloomingdale,250 W Schick Rd,1,5,41.9526258,-88.0989293
1922354,"February 6, 2021",Washington,Tacoma,3634 E McKinley Ave,1,3,47.2251837,-122.4211963
1921641,"February 5, 2021",Pennsylvania,Mohnton,360 E Wyomissing Ave,1,3,40.2922534,-75.9782993
1924951,"February 5, 2021",Mississippi,Benoit,1017 Lake Bolivar Rd,3,1,33.6596266,-91.0540309
1920771,"February 4, 2021",North Carolina,High Point,2912 W English Rd,2,3,35.9306573,-80.0430355
1919399,"February 3, 2021",Tennessee,Memphis,800 block of Olympic St,1,3,35.1608371,-90.01632339999999
1919696,"February 3, 2021",Colorado,Oak Creek,200 block of Wild Hogg Dr,3,2,40.2785397,-106.9564384
1917918,"February 2, 2021",Florida,Fort Lauderdale (Sunrise),10100 Reflections Blvd W,3,3,26.1779789,-80.28929339999999
1917909,"February 2, 2021",Oklahoma,Muskogee,903 Indiana St,6,1,35.7324211,-95.3479583
1917661,"February 1, 2021",New York,Rochester,400 block of Lyell Avenue,1,3,43.16479229999999,-77.6363262
1916468,"January 31, 2021",Illinois,Chicago,W Congress Pkwy and S Independence Blvd,0,4,41.8744733,-87.7197836
1916374,"January 30, 2021",New York,Albany,200 block of Central Ave,1,4,42.662035,-73.76966709999999
1914798,"January 29, 2021",Pennsylvania,Mc Kees Rocks (Mckees Rocks),824 Island Ave,2,3,40.4739268,-80.0631688
1914942,"January 28, 2021",Michigan,Flint,1900 block of Tebo St,1,4,43.0075131,-83.64628069999999
1913708,"January 27, 2021",California,Santa Ana,1614 S Standard Ave,0,4,33.7260763,-117.8568531
1911026,"January 25, 2021",District of Columbia,Washington,1406 Good Hope Rd SE,1,4,38.8669297,-76.9848052
1910136,"January 24, 2021",Indiana,Indianapolis,3540 Adams St,5,1,39.8211575,-86.10867370000001
1910619,"January 24, 2021",Nevada,Las Vegas,W Wilson Ave and H St,0,5,36.1781985,-115.151847
1909849,"January 22, 2021",Kentucky,Covington,217 E Martin Luther King Jr Blvd,0,5,39.0781504,-84.5045143
1908542,"January 21, 2021",California,Oakland,107th Ave and Apricot St,1,3,37.7351411,-122.1720888
1905423,"January 18, 2021",Pennsylvania,Tobyhanna,960 PA-196,0,4,41.1888,-75.356
1904063,"January 17, 2021",Arizona,Phoenix,2340 W Northern Ave,0,5,33.5543579,-112.1092554
1904036,"January 17, 2021",Arizona,Phoenix,2236 E University Dr,1,6,33.4244725,-112.0333849
1905360,"January 16, 2021",Illinois,Kankakee,600 block of N Evergreen Ave,0,5,41.1255325,-87.85148079999999
1903058,"January 15, 2021",Pennsylvania,Philadelphia,5000 block of N 10th St,0,4,40.0283828,-75.1401837
1899819,"January 11, 2021",Florida,Miami,2491 NE 58th St,0,4,25.8285858,-80.1879665
1898261,"January 9, 2021",Illinois,Evanston,100 Asbury Ave,6,2,42.0198259,-87.69052719999999
1897878,"January 9, 2021",Texas,Houston,5828 Martin Luther King Blvd,1,3,29.6963386,-95.3378041
1896774,"January 7, 2021",District of Columbia,Washington,1300 block of Columbia Rd NW,0,5,38.9274332,-77.0306147
1896384,"January 6, 2021",Texas,Livingston,201 Maple Ln,2,2,30.6929056,-94.9288468
1896252,"January 6, 2021",Virginia,Manassas,10010 Ellis Rd,3,3,38.7374352,-77.42864589999999
1894822,"January 4, 2021",Louisiana,New Orleans,1600 block of N Galvez St,0,4,29.9756745,-90.0698773
1894979,"January 4, 2021",Florida,Tampa,1225 S 78th St,0,5,27.9367999,-82.3690376
1894941,"January 4, 2021",Florida,Fort Lauderdale (Lauderhill),1828 NW 38th Ave,0,7,26.1488122,-80.1995457
1893953,"January 3, 2021",Oregon,Gresham,NE 181st Ave and NE San Rafael St,0,4,45.5371044,-122.4772596
1893327,"January 3, 2021",Texas,Houston,2900 Travis St,1,4,29.7437558,-95.3771472
1893754,"January 3, 2021",Florida,Miami,3632 NW 25th Ave,0,6,25.8096843,-80.2386226
1893601,"January 3, 2021",Louisiana,Shreveport,6900 block of Jewella Ave,2,3,32.4443755,-93.798176
1893877,"January 3, 2021",California,Santa Barbara,1200 block of Liberty St,2,2,34.4215939,-119.6710195
1893744,"January 3, 2021",Florida,Miami,10525 NW 24th Ave,0,8,25.8708616,-80.2389276
1892034,"January 1, 2021",Arkansas,Fort Smith,3211 Towson Ave,0,7,35.3529093,-94.4217055
1892704,"January 1, 2021",Texas,Amarillo,2650 Dumas Dr,1,3,35.241882,-101.8302858
1892114,"January 1, 2021",Iowa,Sioux City,2637 S Walker St,1,4,42.4629178,-96.3317879
1891720,"January 1, 2021",Illinois,Galesburg,1000 block of Monroe St,0,4,40.95920599999999,-90.38174330000001
1891461,"December 31, 2020",Indiana,Indianapolis,8215 Center Run Road,1,3,39.9067392,-86.0570729
1890946,"December 31, 2020",Oregon,Happy Valley,9200 block of SE Idleman Rd,0,4,45.4505414,-122.5687215
1886974,"December 26, 2020",Illinois,Rockford,4007 E State St,3,3,42.2647948,-89.03592789999999
1886913,"December 26, 2020",Florida,Tampa,N 20th St and E 7th Ave,2,2,27.96025,-82.436748
1887059,"December 26, 2020",Massachusetts,Lynn,Washington St and Quincy Ter,1,5,42.4672412,-70.95251929999999
1886849,"December 26, 2020",Florida,Miami,NW 61st St and NW 13th Ave,1,3,25.8311789,-80.218645
1886372,"December 25, 2020",Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4,26.5360983,-80.0642731
1886721,"December 25, 2020",Arkansas,Atkins,5180 Pine Ridge Rd,5,0,35.1987769,-92.99986659999999
1886141,"December 24, 2020",Florida,Lakeland,1500 block of Amos Ave,1,4,28.064273,-81.9671833
